Ligand,SMILES,MMGBSA_5,MMGBSA_7,Energy,CNNaffinity,log Kp (cm/s),#H-bond donors,10nM score no_adme,MMPBSA,MMGBSA_2,MMGBSA_8,CNNscore,CNN_VS,CNNaffinity_variance,XLOGP3,Veber #violations,MLOGP,Silicos-IT LogSw,PAINS #alerts,Ali Solubility (mg/ml),Brenk #alerts,Silicos-IT Solubility (mg/ml),#Heavy atoms,Ali Log S,#Aromatic heavy atoms,Synthetic Accessibility,Silicos-IT Solubility (mol/l),#H-bond acceptors,Fraction Csp3,Bioavailability Score,MW,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),Silicos-IT Log P,Ali Solubility (mol/l),Egan #violations,Muegge #violations,TPSA,MR,Leadlikeness #violations,Consensus Log P,ESOL Log S,#Rotatable bonds,iLOGP,WLOGP,Ghose #violations,Lipinski #violations
Z793204136,O=C(OCc1nc2ccccc2n1[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1n[nH]c(=O)c2ccccc12,-50.9403,-45.4421,-12.2388,7.8028364182,-5.81,1.0,0.8299861686632343,-31.7058,-48.2846,-41.7688,0.9640936852,7.5226655006,0.0970239937,4.6,0.0,4.2,-7.47,0.0,0.000279,0.0,1.54e-05,34.0,-6.21,19.0,5.52,3.38e-08,5.0,0.41,0.55,454.52,0.00104,2.29e-06,4.44,6.14e-07,0.0,0.0,89.87,129.49,2.0,4.17,-5.64,5.0,3.2,4.4,0.0,1.0
Z87583408,CN(c1ccccc1)S(=O)(=O)c1cccc(NC(=O)CCn2[nH]c(=O)c3ccccc3c2=O)c1,-51.689,-44.3718,-12.32959,7.5232338905,-7.7,2.0,0.829487323516267,-24.426,-45.4172,-42.9807,0.9368894696,7.048438549,0.1117106825,2.14,0.0,2.56,-7.66,0.0,0.0153,0.0,1.06e-05,34.0,-4.5,22.0,3.48,2.21e-08,5.0,0.12,0.55,478.52,0.0375,7.84e-05,2.11,3.19e-05,0.0,0.0,129.72,130.75,2.0,2.59,-4.11,8.0,2.7,3.43,1.0,0.0
Z198745064,O=C(c1ccc(S(=O)(=O)N2CCCCC2)cc1)c1oc(=O)c2ccccc2c1-c1ccccc1,-45.8437,-40.8181,-12.90973,7.379117012,-5.9,0.0,0.8246741726418753,-18.5923,-40.3257,-38.1451,0.8165440559,6.0253739357,0.1760822237,4.63,0.0,3.04,-9.09,0.0,0.000232,0.0,3.81e-07,34.0,-6.31,22.0,3.92,8.05e-10,6.0,0.19,0.55,473.54,0.000682,1.44e-06,4.79,4.9e-07,0.0,0.0,93.04,134.81,2.0,4.34,-5.84,5.0,3.67,5.57,1.0,0.0
Z4924292094,O=C(CCn1c(=O)[nH]c(=O)c2ccccc21)Nc1ccc(NS(=O)(=O)c2cccc(Cl)c2F)cc1,-51.5238,-44.1222,-11.91141,7.7009034157,-7.54,3.0,0.8215732328609168,-31.9271,-48.0485,-42.2005,0.8881320953,6.8394193649,0.0840468034,2.69,0.0,3.07,-8.84,0.0,0.0029,0.0,7.54e-07,35.0,-5.25,22.0,3.29,1.46e-09,6.0,0.09,0.55,516.93,0.0109,2.1e-05,3.23,5.61e-06,1.0,0.0,138.51,130.81,2.0,3.2,-4.68,8.0,2.56,4.43,2.0,1.0
Z194901778,Cc1ccc(NS(=O)(=O)c2cc(NC(=O)CCn3c(=O)[nH]c(=O)c4ccccc43)ccc2C)c(C)c1,-57.5623,-48.8636,-11.52014,7.8812422752,-7.22,3.0,0.8213552369097792,-28.613,-52.1673,-45.9341,0.8829058409,6.9583950043,0.1232293099,3.05,0.0,2.84,-9.11,0.0,0.0012,0.0,3.9e-07,36.0,-5.62,22.0,3.65,7.69e-10,5.0,0.19,0.55,506.57,0.00755,1.49e-05,3.75,2.37e-06,1.0,0.0,138.51,140.74,2.0,3.32,-4.83,8.0,2.82,4.14,2.0,1.0
Z8346604907,Cc1cc(C(=O)N[C@H]2C[C@H](C)N(C(=O)c3ccc4[nH]nnc4n3)C2)c2cccc(C)c2n1,-39.5214,-36.3486,-13.19376,7.3144617081,-6.94,2.0,0.8212479402638578,-10.0653,-38.5657,-27.7075,0.8744546771,6.3961653709,0.1299824715,2.79,0.0,2.08,-6.98,0.0,0.00543,0.0,4.53e-05,32.0,-4.9,19.0,3.84,1.05e-07,6.0,0.3,0.55,429.47,0.0183,4.27e-05,2.88,1.26e-05,0.0,0.0,116.76,123.55,1.0,2.44,-4.37,5.0,2.26,2.17,0.0,0.0
Z26984219,O=C(CN1C(=O)[C@H]2CC=CC[C@H]2C1=O)N1CCN(Cc2nc3sc4c(c3c(=O)[nH]2)CCCC4)CC1,-49.0374,-43.512,-12.58875,7.5472273827,-8.29,1.0,0.81968141363415,-28.514,-46.9814,-37.6167,0.8050378561,6.0758037567,0.0271490403,1.45,0.0,1.47,-4.38,0.0,0.064,2.0,0.0205,35.0,-3.89,9.0,4.83,4.14e-05,6.0,0.56,0.55,495.59,0.102,0.000206,3.45,0.000129,1.0,0.0,134.92,144.15,1.0,2.03,-3.69,5.0,3.59,0.16,2.0,0.0
Z8271680687,C[C@@H](O)CN1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,-58.8114,-52.6656,-13.02198,7.5048685074,-7.66,2.0,0.8195264453612288,-32.3242,-53.0031,-43.9072,0.9755806923,7.3216047287,0.027773967,1.73,0.0,2.55,-6.33,0.0,0.252,0.0,0.000197,31.0,-3.23,16.0,3.69,4.65e-07,6.0,0.35,0.55,424.47,0.12,0.000283,3.78,0.000594,0.0,0.0,89.53,123.48,1.0,2.46,-3.55,6.0,2.79,1.45,0.0,0.0
Z1767360593,O=C(c1cccc2c(=O)c3cccc(F)c3[nH]c12)N1CC[C@]2(C1)C(=O)Nc1ccccc12,-40.5851,-37.7579,-13.27759,7.3386278152,-6.73,2.0,0.8166761165337134,-16.6405,-38.1522,-35.2074,0.8484688997,6.2265973091,0.0487908833,3.07,0.0,2.83,-8.57,0.0,0.0147,1.0,1.15e-06,32.0,-4.46,20.0,3.71,2.68e-09,4.0,0.16,0.55,427.43,0.00752,1.76e-05,4.68,3.43e-05,0.0,0.0,82.27,126.04,1.0,3.26,-4.75,2.0,2.71,3.02,0.0,0.0
Z1849492791,O=c1cc(N2CCC(O)CC2)cnn1[C@H]1CCCN(Cc2cncc3ccccc23)C1,-48.119,-41.5137,-12.58402,7.3625907898,-7.48,1.0,0.8140592957070679,-20.7845,-42.1749,-33.2268,0.909404099,6.6955704689,0.0162500348,1.94,0.0,1.78,-5.28,0.0,0.312,0.0,0.00222,31.0,-3.13,16.0,4.11,5.28e-06,5.0,0.46,0.55,419.52,0.0694,0.000166,2.04,0.000744,0.0,0.0,74.49,128.89,1.0,2.17,-3.78,4.0,3.4,1.68,0.0,0.0
Z5456236767,CN1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,-45.302,-38.7732,-12.46882,7.3504838943,-7.21,1.0,0.8116768869654941,-26.8446,-41.0332,-32.2054,0.9773566127,7.1840438843,0.0459051207,1.99,0.0,2.92,-6.49,0.0,0.323,0.0,0.000123,28.0,-3.07,16.0,2.97,3.22e-07,5.0,0.29,0.55,380.42,0.0931,0.000245,3.78,0.000848,0.0,0.0,69.3,112.71,1.0,2.65,-3.61,4.0,2.86,1.7,0.0,0.0
Z381165956,O=C(Nc1ccccc1-n1ncc2c(=O)[nH]cnc21)c1ccc(Cl)c(N2CCCC2=O)c1,-36.4724,-31.6733,-11.90265,7.6286940575,-7.69,2.0,0.8066236125080367,-13.1316,-35.9599,-32.4005,0.8655157089,6.6027545929,0.0724820346,1.9,0.0,2.65,-7.11,0.0,0.0571,0.0,3.49e-05,32.0,-3.9,21.0,3.08,7.78e-08,5.0,0.14,0.55,448.86,0.0475,0.000106,2.74,0.000127,0.0,0.0,112.98,123.55,1.0,2.51,-3.98,5.0,2.7,2.57,0.0,0.0
Z6309014701,Cc1nc(-c2ccc3c(c2)C(C)(C)C(=O)N3C)n(-c2ccc3[nH]ncc3c2)n1,-38.5568,-33.8217,-11.99371,7.644510746,-6.21,1.0,0.805107379964628,-16.5539,-35.7194,-28.6795,0.9766662717,7.4661359787,0.1028237566,3.32,0.0,2.61,-6.84,0.0,0.00796,0.0,5.35e-05,28.0,-4.67,20.0,3.06,1.44e-07,4.0,0.24,0.55,372.42,0.00859,2.31e-05,3.27,2.14e-05,0.0,0.0,79.7,111.1,1.0,2.95,-4.64,2.0,2.53,2.99,0.0,0.0
Z3396344473,O=C(NCC[C@H]1CN(c2ncnc3[nH]ncc23)c2ccccc21)[C@@H]1CCc2cccc(O)c21,-40.7472,-36.4976,-12.28753,7.6191163063,-6.61,3.0,0.8036166540330245,-14.7202,-37.4564,-29.6465,0.9049597383,6.8949933052,0.0782094225,3.35,0.0,2.91,-7.58,0.0,0.00234,0.0,1.17e-05,33.0,-5.28,21.0,4.14,2.65e-08,5.0,0.28,0.55,440.5,0.00772,1.75e-05,3.19,5.31e-06,0.0,0.0,107.03,128.31,1.0,2.95,-4.76,6.0,2.16,3.15,0.0,0.0
Z6279898031,O=C1CC[C@H](N2C(=O)c3cccc(-n4cc(-c5ccnc6ccccc56)nn4)c3C2=O)C(=O)N1,-34.2392,-28.3254,-12.23264,7.2401857376,-8.01,1.0,0.8035789188477214,-18.7691,-33.923,-28.7844,0.9024987817,6.5342588425,0.0905173272,1.48,0.0,1.89,-6.9,0.0,0.0791,1.0,5.7e-05,34.0,-3.76,21.0,3.73,1.26e-07,7.0,0.12,0.55,452.42,0.0659,0.000146,1.85,0.000175,0.0,0.0,127.15,126.61,1.0,1.69,-3.84,3.0,2.09,1.12,0.0,0.0
Z126939204,O=C(Cc1n[nH]c(=O)c2ccccc12)N1CCC(n2c(=O)[nH]c3ccccc32)CC1,-44.1382,-37.7494,-12.6719,7.2176179886,-7.54,2.0,0.8030639559837848,-24.8972,-41.3792,-35.3275,0.8874758482,6.4054617882,0.0663150474,1.72,0.0,2.44,-6.11,0.0,0.123,0.0,0.00031,30.0,-3.52,19.0,2.94,7.69e-07,4.0,0.27,0.55,403.43,0.0947,0.000235,3.01,0.000304,0.0,0.0,103.85,117.97,1.0,2.17,-3.63,4.0,2.1,1.59,0.0,0.0
Z3396342414,O=C(NCC[C@@H]1CN(c2ncnc3[nH]ncc23)c2ccccc21)[C@@]12C[C@@H]3C[C@@H](C[C@@](F)(C3)C1)C2,-44.9707,-41.5409,-12.25096,7.8618059158,-6.37,2.0,0.8018742787075626,-13.7851,-41.7701,-29.6752,0.8692683578,6.8340191841,0.0375442505,3.86,0.0,3.95,-7.58,0.0,0.00192,0.0,1.21e-05,34.0,-5.38,15.0,5.74,2.64e-08,5.0,0.54,0.55,460.55,0.00403,8.76e-06,3.98,4.17e-06,0.0,0.0,86.8,130.9,2.0,3.81,-5.06,6.0,2.84,4.44,1.0,0.0
Z24153148,C[C@H]1CCc2c(sc3nc(S[C@@H](C)c4nc5ccccc5c(=O)[nH]4)nc(N)c23)C1,-48.3458,-40.4965,-12.08875,7.4193940163,-5.6,2.0,0.8010421245754971,-27.7451,-45.7819,-32.6687,0.8447810411,6.2677636147,0.084525995,4.62,1.0,3.27,-7.31,0.0,1.28e-05,0.0,2.09e-05,29.0,-7.52,19.0,4.43,4.93e-08,4.0,0.33,0.55,423.55,0.000919,2.17e-06,5.47,3.03e-08,1.0,1.0,151.09,121.0,2.0,4.13,-5.66,3.0,3.12,4.17,0.0,0.0
Z8254657077,C[C@@H]1C[C@@H]1CN1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,-63.899,-57.9861,-12.77385,7.7588396072,-6.7,1.0,0.8000836345785508,-43.5508,-58.1359,-49.9265,0.9781934619,7.5896463394,0.0279993974,3.17,0.0,3.76,-7.22,0.0,0.022,0.0,2.63e-05,32.0,-4.3,16.0,4.02,6.05e-08,5.0,0.4,0.55,434.51,0.0136,3.13e-05,4.71,5.06e-05,0.0,0.0,69.3,129.82,1.0,3.6,-4.51,6.0,3.63,2.73,0.0,0.0
Z5000077924,O=C1CC[C@@H](N2Cc3c(NCC(=O)N4C[C@@H]5C[C@H](C4)[C@@H]4CCCC(=O)N4C5)cccc3C2=O)C(=O)N1,-47.4156,-39.4843,-11.59368,7.626663208,-9.24,2.0,0.7976102217531101,-23.7133,-44.5991,-35.8897,0.8131113648,6.2013263702,0.3217146993,0.1,0.0,1.05,-4.31,0.0,3.44,1.0,0.024,36.0,-2.16,6.0,4.98,4.86e-05,5.0,0.58,0.55,493.55,0.865,0.00175,0.76,0.00697,0.0,0.0,119.13,145.2,1.0,0.68,-2.76,5.0,2.65,-1.15,3.0,0.0
Z168437718,Cc1noc(C)c1S(=O)(=O)N1CCC[C@H](C(=O)N(C)Cc2nc3ccccc3c(=O)[nH]2)C1,-41.991,-36.9592,-12.20879,7.5671553612,-8.56,1.0,0.7954014196409691,-9.7641,-38.6748,-33.5701,0.9439213276,7.1427993774,0.108121492,0.77,0.0,0.78,-5.73,0.0,0.261,0.0,0.000856,32.0,-3.25,15.0,4.23,1.86e-06,8.0,0.43,0.55,459.52,0.345,0.00075,1.82,0.000569,1.0,0.0,137.85,121.38,1.0,1.64,-3.12,6.0,2.7,2.14,0.0,0.0
Z112425414,C[C@H](Sc1nc2c(cnn2-c2ccccc2)c(=O)[nH]1)C(=O)N1c2ccccc2NC(=O)C1(C)C,-40.3937,-35.0668,-12.05184,7.5580086708,-7.06,2.0,0.7931128383376954,-5.1253,-39.2536,-29.319,0.8212158084,6.206756115,0.2441129237,3.0,0.0,2.46,-7.22,0.0,0.00128,0.0,2.87e-05,34.0,-5.57,21.0,3.93,6.05e-08,5.0,0.21,0.55,474.53,0.00754,1.59e-05,2.77,2.7e-06,1.0,0.0,138.28,137.66,1.0,2.66,-4.8,5.0,2.67,2.4,1.0,0.0
Z8346604777,O=C1O[C@H](C(=O)N2CC[C@@H]2CNC(=O)c2n[nH]c(=O)c3ccccc23)c2ccccc21,-46.638,-39.3954,-12.44534,7.2601037025,-7.82,2.0,0.792654668097231,-33.9907,-43.7057,-36.341,0.9661818743,7.0145807266,0.0227256157,1.45,0.0,1.74,-5.9,0.0,0.104,0.0,0.000529,31.0,-3.61,16.0,3.69,1.26e-06,6.0,0.23,0.55,418.4,0.194,0.000464,2.4,0.000247,0.0,0.0,121.46,113.14,1.0,1.64,-3.33,6.0,2.17,0.46,0.0,0.0
Z1314002620,CC(=O)N1CCCc2cc(NC(=O)C3(NC(=O)c4[nH]nc5ccccc45)CCCC3)ccc21,-44.9052,-40.9118,-12.92331,7.4223222733,-6.97,3.0,0.7925025215350938,-24.9348,-43.8578,-37.7073,0.9404156804,6.9800682068,0.0511245057,2.88,0.0,2.3,-7.19,0.0,0.00721,0.0,2.89e-05,33.0,-4.79,15.0,3.15,6.49e-08,4.0,0.36,0.55,445.51,0.0228,5.12e-05,3.43,1.62e-05,0.0,0.0,107.19,129.88,1.0,2.88,-4.29,7.0,2.8,2.97,0.0,0.0
Z8174663756,[N-]=[N+]=NCC(=O)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,-58.3539,-53.7683,-13.36333,7.4767394066,-7.23,1.0,0.7909182711084555,-36.4968,-54.8256,-47.0055,0.9172182679,6.8578019142,0.0616536438,2.55,0.0,1.82,-6.54,1.0,0.00395,3.0,0.00013,33.0,-5.06,16.0,3.27,2.88e-07,8.0,0.27,0.55,449.44,0.0333,7.42e-05,2.34,8.79e-06,1.0,0.0,136.12,122.53,1.0,2.14,-4.13,7.0,2.1,1.91,0.0,0.0
Z7586397684,O=C(c1cccc(Nc2nc3ccccc3c(=O)[nH]2)c1)N1C[C@@H]2[C@H](C1)[C@H]1C=C[C@@H]2C1,-48.1732,-42.7365,-12.6476,7.44140625,-6.69,2.0,0.788341805490319,-27.7653,-44.9911,-40.3824,0.9322259426,6.9370718002,0.0562894233,2.88,0.0,3.65,-6.11,0.0,0.0263,1.0,0.000308,30.0,-4.18,16.0,4.18,7.73e-07,3.0,0.29,0.55,398.46,0.0221,5.55e-05,2.91,6.61e-05,0.0,0.0,78.09,120.55,1.0,3.05,-4.26,4.0,2.64,3.18,0.0,0.0
Z18703760,C[C@@H](OC(=O)c1cc(-c2ccccc2Cl)nc2ccccc12)c1nc2ccccc2c(=O)[nH]1,-36.1156,-31.3249,-12.1194,7.4734358788,-5.37,1.0,0.7883106852166825,-13.4598,-34.9555,-25.4431,0.8586208224,6.4168477058,0.1279069334,5.23,0.0,3.95,-10.18,0.0,7.88e-05,0.0,2.99e-08,33.0,-6.76,26.0,3.79,6.56e-11,5.0,0.08,0.55,455.89,0.000278,6.1e-07,6.23,1.73e-07,0.0,1.0,84.94,128.68,2.0,4.89,-6.21,5.0,3.65,5.39,0.0,0.0
Z8515969725,CCC1(c2ccccc2)CN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)C1,-49.6557,-45.2163,-13.07798,7.400537014,-5.73,1.0,0.7876219672975376,-21.7835,-46.7434,-36.5894,0.8638564944,6.3930020332,0.0623246208,4.6,0.0,4.77,-9.73,0.0,0.000857,0.0,8.18e-08,33.0,-5.71,22.0,3.21,1.85e-10,4.0,0.22,0.55,441.5,0.00118,2.68e-06,6.36,1.94e-06,0.0,0.0,66.06,130.26,2.0,4.69,-5.57,6.0,3.22,4.5,1.0,1.0
Z3396331658,O=C1COc2cc(NC(=O)NCC[C@@H]3CN(c4ncnc5[nH]ncc45)c4ccccc43)ccc2N1,-48.1205,-43.9703,-12.84172,7.5164461136,-7.74,4.0,0.7863298611561855,-34.5805,-44.7827,-36.7749,0.8682333231,6.52602911,0.1402399093,2.02,0.0,1.81,-7.8,0.0,0.014,0.0,7.37e-06,35.0,-4.53,21.0,4.01,1.57e-08,6.0,0.21,0.55,470.48,0.0458,9.74e-05,1.63,2.97e-05,1.0,0.0,137.16,135.37,1.0,1.93,-4.01,7.0,2.22,1.99,1.0,1.0
Z4984330306,NC(=O)c1ccn(-c2ccc(CNC[C@]3(C(=O)Nc4cncc5ccccc45)CCOc4ccc(Cl)cc43)cn2)n1,-50.7161,-44.4567,-12.09377,7.6722121239,-7.27,3.0,0.7863010428323528,-25.805,-46.7766,-34.5659,0.8379608989,6.4290137291,0.2137921602,3.52,0.0,1.86,-10.26,0.0,0.00047,0.0,3.14e-08,41.0,-6.08,27.0,4.39,5.52e-11,7.0,0.17,0.55,568.03,0.00191,3.37e-06,3.66,8.28e-07,1.0,0.0,137.05,154.54,3.0,3.36,-5.47,9.0,4.11,3.67,2.0,1.0
Z4916839022,O=C(CCn1c(=O)[nH]c(=O)c2ccccc21)N1CCc2cc(NS(=O)(=O)Cc3ccccc3F)ccc21,-49.6326,-44.084,-12.3432,7.6079549789,-7.92,2.0,0.7824427257401108,-19.5365,-44.9979,-38.2003,0.9080483913,6.9083914757,0.1182896122,2.21,0.0,2.94,-8.45,0.0,0.0141,0.0,1.84e-06,37.0,-4.57,22.0,3.57,3.52e-09,6.0,0.19,0.55,522.55,0.0216,4.13e-05,3.35,2.7e-05,0.0,0.0,129.72,142.13,2.0,2.95,-4.38,8.0,2.74,3.53,2.0,1.0
Z8034648485,CC(C)(c1cn(-c2ccsc2C(=O)O)nn1)N1CCN(C(=O)[C@@H]2Cc3ccccc3NC2=O)CC1,-44.8378,-37.5903,-12.21929,7.3035607338,-9.74,2.0,0.7814634134919104,-2.2788,-41.8152,-33.0257,0.821918726,6.0029335022,0.1366554499,-0.59,1.0,1.5,-4.64,0.0,4.25,1.0,0.0114,35.0,-2.07,16.0,4.38,2.31e-05,7.0,0.38,0.55,494.57,1.65,0.00334,1.92,0.00859,1.0,0.0,148.9,140.83,1.0,1.29,-2.48,6.0,2.84,0.78,2.0,0.0
Z4921676724,O=C(NC[C@@H]1CC2(CCC2)CN1C(=O)c1cc(O)c2ccoc2c1)c1noc2c1COCC2,-41.7621,-37.9602,-12.64794,7.4785718918,-7.46,2.0,0.779597842112165,-22.6271,-39.7681,-37.1195,0.9177112579,6.8631696701,0.1972150952,2.25,0.0,1.02,-5.9,0.0,0.0195,0.0,0.000566,33.0,-4.36,14.0,4.9,1.25e-06,7.0,0.46,0.55,451.47,0.0479,0.000106,2.98,4.32e-05,0.0,0.0,118.04,120.69,1.0,2.46,-3.97,6.0,3.58,2.48,0.0,0.0
Z30081997,CCN(Cc1nc2ccccc2c(=O)[nH]1)C(=O)CN1C(=O)N[C@@]2(CCOc3ccccc32)C1=O,-42.8739,-35.528,-11.94915,7.3671469688,-8.3,2.0,0.7779911431502025,-13.483,-41.7452,-37.8431,0.9475529194,6.980761528,0.0558991842,1.15,0.0,0.99,-6.78,0.0,0.2,1.0,7.68e-05,34.0,-3.36,16.0,4.33,1.66e-07,6.0,0.29,0.55,461.47,0.193,0.000419,2.32,0.000433,0.0,0.0,124.7,129.83,1.0,1.5,-3.38,6.0,2.58,0.48,0.0,0.0
Z8342395720,O=C(c1n[nH]c2ccccc12)N1CCCCC2(C1)CN(C(=O)c1cccn3nnnc13)C2,-39.0807,-33.3259,-11.98828,7.4646043777,-7.78,1.0,0.7772272367568349,-28.3102,-36.5738,-28.6074,0.8613001704,6.4292650223,0.2410746366,1.62,0.0,2.76,-5.04,0.0,0.11,0.0,0.0039,32.0,-3.59,18.0,3.52,9.06e-06,6.0,0.36,0.55,430.46,0.0896,0.000208,0.96,0.000256,0.0,0.0,112.38,123.13,1.0,1.81,-3.68,4.0,2.72,1.01,0.0,0.0
Z4670406933,O=C(CCn1c(=O)[nH]c(=O)c2ccccc21)Nc1ccc(NS(=O)(=O)c2ccccc2F)cc1,-50.7987,-43.1862,-12.11708,7.4569945335,-7.78,3.0,0.7770512983371322,-26.2285,-46.3502,-36.665,0.8315185308,6.2006292343,0.1771567762,2.06,0.0,2.59,-8.26,0.0,0.0122,0.0,2.66e-06,34.0,-4.6,22.0,3.19,5.51e-09,6.0,0.09,0.55,482.48,0.0401,8.32e-05,2.58,2.53e-05,1.0,0.0,138.51,125.8,2.0,2.67,-4.08,8.0,2.36,3.78,1.0,0.0
Z5091573947,O=c1[nH]c(CNc2nc(-c3ccccc3)nc3scc(-c4ccccc4)c23)nc2ccccc12,-38.031,-35.8976,-12.22614,7.8165755272,-5.1,2.0,0.7760200457843865,-8.6476,-36.0603,-30.4982,0.8770080805,6.8551998138,0.1181594729,5.66,0.0,4.12,-11.31,0.0,7.8e-06,0.0,2.28e-09,34.0,-7.77,31.0,3.55,4.94e-12,4.0,0.04,0.55,461.54,0.000113,2.44e-07,6.71,1.69e-08,0.0,1.0,111.8,138.0,2.0,5.15,-6.61,5.0,3.73,5.53,1.0,0.0
Z4916845136,O=C(CCn1c(=O)[nH]c(=O)c2ccccc21)N1CCc2cc(NS(=O)(=O)c3ccc(Cl)cc3)ccc21,-56.908,-49.7196,-12.00143,7.735476017,-7.51,2.0,0.7750603741278803,-36.0226,-50.6578,-42.8538,0.8123756051,6.2841119766,0.1280631423,2.8,0.0,3.11,-8.38,0.0,0.00346,0.0,2.17e-06,36.0,-5.18,22.0,3.36,4.14e-09,5.0,0.16,0.55,524.98,0.00743,1.42e-05,3.17,6.59e-06,0.0,0.0,129.72,141.54,1.0,3.11,-4.85,7.0,2.83,3.63,2.0,1.0
Z8264647896,CC(C)(c1noc(-c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)n1)S(C)(=O)=O,-44.8094,-40.0655,-12.23469,7.6292076111,-7.3,1.0,0.7742979801135215,-28.3159,-43.1892,-38.4825,0.9009128213,6.8732509613,0.0527684763,2.39,0.0,3.11,-8.44,0.0,0.00878,0.0,1.6e-06,31.0,-4.7,21.0,3.77,3.62e-09,8.0,0.24,0.55,442.46,0.0243,5.49e-05,4.33,1.98e-05,0.0,0.0,127.19,113.3,1.0,3.34,-4.26,5.0,2.51,4.38,0.0,0.0
Z73479148,O=C(NCC[C@H]1C(=O)Nc2ccccc21)c1cccc(NC(=O)c2cc(=O)[nH]c3ccccc23)c1,-51.9909,-46.5389,-13.06407,7.3032140732,-7.65,4.0,0.7736241945487251,-29.4098,-48.7639,-35.8439,0.8004180193,5.84562397,0.1917760372,2.1,0.0,2.67,-9.57,0.0,0.026,0.0,1.25e-07,35.0,-4.25,22.0,3.59,2.69e-10,4.0,0.11,0.55,466.49,0.0475,0.000102,4.17,5.58e-05,0.0,0.0,120.16,136.21,2.0,2.82,-3.99,8.0,2.31,2.87,1.0,0.0
Z87672929,O=C(CCn1[nH]c(=O)c2ccccc2c1=O)Nc1ccc(NS(=O)(=O)c2ccc(F)cc2)cc1,-50.3878,-42.2204,-12.25634,7.2902994156,-7.78,3.0,0.7727704521518595,-22.1646,-45.5574,-36.9757,0.8318181038,6.0642032623,0.2552226186,2.06,0.0,2.99,-8.26,0.0,0.0122,0.0,2.66e-06,34.0,-4.6,22.0,3.25,5.51e-09,6.0,0.09,0.55,482.48,0.0401,8.32e-05,2.58,2.53e-05,1.0,0.0,138.51,125.8,2.0,2.72,-4.08,8.0,2.18,3.78,1.0,0.0
Z8271680826,CC(C)CN1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,-62.475,-56.143,-12.54835,7.7217545509,-6.52,1.0,0.7719428116195424,-42.4641,-56.7517,-49.6557,0.9796831608,7.5648727417,0.0267830752,3.32,0.0,3.56,-7.3,0.0,0.0149,0.0,2.14e-05,31.0,-4.45,16.0,3.3,5.06e-08,5.0,0.38,0.55,422.5,0.0123,2.9e-05,4.78,3.53e-05,0.0,0.0,69.3,127.13,1.0,3.55,-4.54,6.0,3.36,2.73,0.0,0.0
Z8381568194,CC(C)(NC(=O)c1c[nH]c(=O)c2ccccc12)c1cn(-c2cccc3ncccc23)nn1,-41.9989,-39.0691,-12.7012,7.5642385483,-7.37,2.0,0.7716653288141854,-23.2323,-39.6465,-35.1942,0.9556086659,7.2284517288,0.0542415008,2.14,0.0,2.6,-8.31,0.0,0.0436,0.0,2.08e-06,32.0,-3.99,25.0,3.29,4.91e-09,5.0,0.12,0.55,424.45,0.0363,8.55e-05,3.41,0.000103,0.0,0.0,105.56,121.77,1.0,2.88,-4.07,5.0,3.03,3.21,0.0,0.0
Z1069479500,CCc1noc2ncc(C(=O)N3CCC(C(=O)c4ccc5c(c4)NC(=O)[C@@H](C)O5)CC3)cc12,-42.8863,-34.4302,-11.58191,7.3842797279,-7.3,1.0,0.7699623198754375,-15.1971,-41.0579,-31.5279,0.8627331257,6.3706626892,0.1569743901,2.45,0.0,1.32,-6.51,0.0,0.0142,0.0,0.000139,33.0,-4.5,15.0,4.04,3.1e-07,7.0,0.38,0.55,448.47,0.0303,6.75e-05,3.2,3.16e-05,0.0,0.0,114.63,127.04,1.0,2.46,-4.17,5.0,3.03,2.29,0.0,0.0
Z5009883742,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)Nc1ccc(C(=O)O[C@H](C)C(=O)c2ccc3c(c2)NC(=O)CO3)cc1,-67.8128,-58.2709,-12.47978,7.4480195045,-7.28,2.0,0.7683932203472726,-45.5668,-62.5188,-57.6524,0.939887464,7.0002999306,0.147861883,3.26,1.0,0.78,-7.26,0.0,9.43e-05,2.0,2.99e-05,38.0,-6.76,18.0,4.12,5.55e-08,9.0,0.16,0.17,539.51,0.00545,1.01e-05,0.98,1.75e-07,1.0,1.0,182.07,139.96,2.0,2.2,-5.0,9.0,2.21,3.78,2.0,2.0
