Ligand,SMILES,MMGBSA_5,MMGBSA_7,Energy,CNNaffinity,log Kp (cm/s),#H-bond donors,10nM score no_adme,MMPBSA,MMGBSA_2,MMGBSA_8,CNNscore,CNN_VS,CNNaffinity_variance,XLOGP3,Veber #violations,MLOGP,Silicos-IT LogSw,PAINS #alerts,Ali Solubility (mg/ml),Brenk #alerts,Silicos-IT Solubility (mg/ml),#Heavy atoms,Ali Log S,#Aromatic heavy atoms,Synthetic Accessibility,Silicos-IT Solubility (mol/l),#H-bond acceptors,Fraction Csp3,Bioavailability Score,MW,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),Silicos-IT Log P,Ali Solubility (mol/l),Egan #violations,Muegge #violations,TPSA,MR,Leadlikeness #violations,Consensus Log P,ESOL Log S,#Rotatable bonds,iLOGP,WLOGP,Ghose #violations,Lipinski #violations
Z4910987652,O=C1CC[C@@H](N2Cc3c(cccc3-n3cc(-c4ccccc4-c4ccccc4)nn3)C2=O)C(=O)N1,-30.917,-27.6362,-13.02928,7.4236197472,-7.08,1.0,0.9137900844309751,9.235,-29.5654,-28.0375,0.8879484534,6.5917916298,0.1295101941,2.89,0.0,3.15,-8.21,0.0,0.0119,1.0,2.84e-06,35.0,-4.59,23.0,3.97,6.12e-09,5.0,0.15,0.55,463.49,0.00812,1.75e-05,3.25,2.56e-05,0.0,0.0,97.19,136.32,1.0,2.87,-4.76,4.0,2.62,2.45,1.0,0.0
Z8264646901,O=C(NS(=O)(=O)c1cnccn1)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F,-43.9383,-37.3479,-12.34779,7.6590032578,-8.05,2.0,0.9135041480636468,-33.4277,-41.6841,-37.6087,0.9574859738,7.3333883286,0.0468161926,1.31,1.0,1.06,-8.02,0.0,0.0532,0.0,4.2e-06,31.0,-3.92,22.0,3.25,9.55e-09,8.0,0.05,0.55,439.42,0.133,0.000303,2.73,0.000121,1.0,0.0,143.15,108.17,1.0,1.9,-3.52,6.0,1.31,3.06,0.0,0.0
Z4916839070,O=C(CCn1c(=O)[nH]c(=O)c2ccccc21)N1CCc2cc(NS(=O)(=O)c3ccccc3Cl)ccc21,-65.1909,-57.2106,-12.75636,7.828959465,-7.51,2.0,0.9127353275943558,-44.1213,-59.6337,-49.4545,0.8952592015,7.0089478493,0.116136089,2.8,0.0,3.11,-8.38,0.0,0.00346,0.0,2.17e-06,36.0,-5.18,22.0,3.37,4.14e-09,5.0,0.16,0.55,524.98,0.00743,1.42e-05,3.17,6.59e-06,0.0,0.0,129.72,141.54,1.0,3.14,-4.85,7.0,3.02,3.63,2.0,1.0
Z165049856,O=C1NC(=O)c2ccccc2/C1=C/Nc1nc2cc(S(=O)(=O)/N=C3\CCCCCN3)ccc2s1,-51.3274,-46.706,-13.70408,7.4411497116,-7.14,3.0,0.9126012923107472,-25.4238,-48.065,-41.1276,0.8133996725,6.0526285172,0.086862132,3.07,1.0,3.2,-7.73,0.0,0.000293,3.0,9.19e-06,34.0,-6.23,15.0,3.87,1.85e-08,6.0,0.22,0.55,495.57,0.00611,1.23e-05,3.68,5.92e-07,1.0,1.0,166.24,138.95,1.0,3.24,-4.91,4.0,2.86,3.4,2.0,0.0
Z4927221844,O=C(c1ccc2n[nH]c(=O)n2c1)N1C[C@]23CCC[C@@]2(C1)CN(c1nnnn1-c1ccccc1)C3,-41.915,-37.9616,-13.08588,7.5923323631,-8.04,1.0,0.912387471092586,-21.0461,-37.7551,-30.566,0.8823629022,6.699192524,0.3824345469,1.48,0.0,3.8,-4.88,0.0,0.129,0.0,0.00604,34.0,-3.55,20.0,4.8,1.32e-05,6.0,0.39,0.55,457.49,0.0759,0.000166,0.3,0.000282,0.0,0.0,117.31,128.98,1.0,1.75,-3.78,4.0,2.82,0.37,0.0,1.0
Z4924289072,O=C(CCn1c(=O)[nH]c(=O)c2ccccc21)Nc1ccc(NS(=O)(=O)c2ccccc2Cl)cc1,-57.3965,-48.3139,-12.13179,7.7722320557,-7.51,3.0,0.9103275935842974,-34.3986,-52.4492,-45.1318,0.9520479441,7.3995375633,0.0829409957,2.58,0.0,2.69,-8.58,0.0,0.00364,0.0,1.32e-06,34.0,-5.14,22.0,3.16,2.65e-09,5.0,0.09,0.55,498.94,0.0154,3.09e-05,2.8,7.29e-06,1.0,0.0,138.51,130.86,2.0,2.89,-4.51,8.0,2.49,3.87,2.0,0.0
Z96093358,Cc1ccc(S(=O)(=O)NC2=C/C(=N\S(=O)(=O)c3c(C)cc(C)cc3C)c3ccccc3C2=O)cc1,-32.0389,-25.172,-12.01135,7.4545121193,-5.82,1.0,0.909653542245584,-18.0412,-28.6586,-26.5389,0.9402947426,7.0094385147,0.1077999026,5.05,0.0,2.82,-9.48,1.0,1.81e-05,1.0,1.7e-07,35.0,-7.45,18.0,4.38,3.34e-10,6.0,0.15,0.55,508.61,0.000303,5.95e-07,4.53,3.56e-08,1.0,1.0,126.5,135.4,2.0,4.18,-6.23,5.0,2.17,6.32,3.0,1.0
Z5129791152,O=C(CCSCc1nc2ccccc2c(=O)[nH]1)NC1(c2noc(Cn3cc(Cn4ccnc4-c4ccccc4)nn3)n2)CCCCCC1,-65.3318,-62.9967,-12.72536,8.6174602509,-8.02,2.0,0.9089755845205449,-39.2693,-63.5221,-55.3423,0.8249297142,7.1087989807,0.4888681769,3.29,2.0,2.73,-11.1,0.0,8.28e-05,0.0,5.24e-09,48.0,-6.9,31.0,5.12,7.89e-12,9.0,0.35,0.17,664.78,0.00147,2.22e-06,4.68,1.24e-07,1.0,2.0,187.6,182.4,2.0,3.74,-5.65,13.0,3.42,4.59,3.0,2.0
Z4927217912,O=C(c1ccc2n[nH]c(=O)n2c1)N1C[C@]23CCC[C@@]2(C1)CN(C(=O)[C@H]1CCC[C@@H]1O)C3,-47.5872,-42.3191,-12.86361,7.6611938477,-8.7,2.0,0.9088849662604752,-26.1054,-43.1089,-37.1901,0.9767814279,7.4833116531,0.1192082167,0.27,0.0,2.06,-2.91,0.0,2.93,0.0,0.525,31.0,-2.16,9.0,4.88,0.00123,5.0,0.64,0.55,425.48,1.07,0.00252,0.92,0.00688,0.0,0.0,111.01,119.31,1.0,1.14,-2.6,4.0,2.56,-0.12,0.0,0.0
Z8381568457,O=C(N[C@]12C[C@H]1CN(C(=O)c1cc3cn[nH]c3cn1)C2)c1cccc2ccncc12,-35.1568,-28.7476,-12.57981,7.3108887672,-7.68,2.0,0.9087989282799127,-13.7765,-32.3323,-26.2181,0.9205378294,6.7299494743,0.0943632796,1.48,0.0,0.89,-6.71,0.0,0.215,0.0,7.82e-05,30.0,-3.27,19.0,3.35,1.96e-07,5.0,0.23,0.55,398.42,0.166,0.000416,2.52,0.000539,0.0,0.0,103.87,113.75,1.0,1.64,-3.38,5.0,1.55,1.77,0.0,0.0
