Protein,Ligand,ID,MMPBSA,MMGBSA_2,MMGBSA_5,MMGBSA_7,MMGBSA_8
7KK4,Z6284278353_0,Z53,-25.1076,-41.5886,-43.5723,-39.3085,-37.9435
7KK4,Z6284751887_0,Z87,-14.9278,-40.5328,-42.9915,-36.7319,-24.1975
7KK4,Z6284751897_0,Z97,-9.9328,-35.5906,-36.6992,-30.0024,-30.5787
7KK4,Z8346701942_0,Z42,-17.5036,-35.3666,-36.9214,-32.2669,-29.4476
7KK4,Z7056624010_0,Z10,-14.2411,-35.1377,-37.6919,-35.6824,-25.5946
7KK4,Z226329552_0,Z52,-13.1871,-36.3324,-37.7603,-34.9519,-27.8464
7KK4,Z226325778_0,Z78,-9.9542,-35.8396,-37.1308,-35.6800,-23.3402
7KK4,Z5129523130_0,Z30,-24.4876,-45.0637,-47.8602,-41.9825,-39.4800
7KK4,Z289537634_0,Z34,-16.6725,-42.5341,-45.0421,-42.6324,-35.3943
7KK4,Z2087182409_0,Z09,-18.1716,-44.3944,-47.1298,-40.2481,-36.7470
7KK4,Z222948730_0,Z30,-14.4992,-40.9377,-42.5776,-36.6437,-34.7963
7KK4,Z230134946_0,Z46,-20.5700,-41.8598,-44.0178,-41.7838,-34.9055
7KK4,Z908356970_0,Z70,-30.0927,-50.1639,-56.3951,-51.7921,-42.0346
7KK4,Z381165956_0,Z56,-13.1316,-35.9599,-36.4724,-31.6733,-32.4005
7KK4,Z88397345_0,Z45,-21.8964,-40.2700,-45.0600,-38.4072,-33.7510
7KK4,Z88992745_0,Z45,-19.7577,-38.8792,-44.9135,-40.7369,-33.6591
7KK4,Z909062852_0,Z52,-28.4967,-43.3943,-45.6562,-44.7517,-41.1890
7KK4,Z226322746_0,Z46,-36.4745,-51.5791,-54.7877,-47.8854,-42.5084
7KK4,Z131404742_0,Z42,-21.3707,-39.1388,-41.9220,-37.5794,-30.4199
7KK4,Z131399366_0,Z66,-24.0367,-39.2741,-45.2742,-36.7798,-33.4394
7KK4,Z26495950_0,Z50,-17.0231,-42.2909,-48.1035,-39.9288,-44.3541
7KK4,Z115238256_0,Z56,-11.6578,-33.9074,-38.1065,-30.2162,-31.1744
7KK4,Z239887412_0,Z12,-16.3551,-46.2367,-48.1458,-41.9867,-36.6466
7KK4,Z4927214745_0,Z45,-6.7352,-32.0934,-32.4515,-24.8119,-23.5489
7KK4,Z30562333_0,Z33,-23.9934,-50.3482,-55.1587,-52.0950,-49.9322
7KK4,Z994876732_0,Z32,-19.7633,-42.7736,-46.3732,-38.4215,-31.2189
7KK4,Z26538276_0,Z76,-27.8133,-52.7441,-61.1138,-51.6847,-52.8784
7KK4,Z30003503_0,Z03,-23.7373,-45.3248,-50.5284,-43.0215,-42.0507
7KK4,Z54340450_0,Z50,-25.2551,-46.8319,-51.5439,-45.9728,-42.3476
7KK4,Z54314525_0,Z25,-11.7517,-36.6415,-41.4501,-34.9934,-33.9238
7KK4,Z62932477_0,Z77,-19.9062,-49.2471,-51.7129,-48.1239,-39.5537
7KK4,Z84961669_0,Z69,-29.6813,-53.1727,-59.0890,-51.5085,-47.1425
7KK4,Z84963072_0,Z72,-26.3678,-45.3926,-50.1755,-39.4646,-37.0632
7KK4,Z87672929_0,Z29,-22.1646,-45.5574,-50.3878,-42.2204,-36.9757
7KK4,Z88479883_0,Z83,-14.5221,-40.0246,-42.1640,-39.2966,-33.5715
7KK4,Z91060847_0,Z47,-33.4350,-46.3021,-50.1986,-48.0239,-40.5747
7KK4,Z295691046_0,Z46,-8.2846,-42.8285,-44.4790,-37.6804,-35.4911
7KK4,Z1849492791_0,Z91,-20.7845,-42.1749,-48.1190,-41.5137,-33.2268
7KK4,Z101494566_0,Z66,-22.3718,-43.3504,-46.8802,-41.0438,-37.0933
7KK4,Z101498550_0,Z50,-17.9206,-43.6916,-48.4604,-40.3087,-39.1541
